Source;Target;Weight;Type
7;16850;0.879515442201;"Undirected"
18;43;0.825801055252;"Undirected"
19;23952;0.93643354941;"Undirected"
22;21633;0.803586087544;"Undirected"
22;29564;0.808733114761;"Undirected"
23;11015;0.849531570079;"Undirected"
23;12341;0.870067912661;"Undirected"
23;16767;0.92781944306;"Undirected"
29;17554;0.851258400665;"Undirected"
43;18;0.825801055252;"Undirected"
48;31427;0.880478675422;"Undirected"
64;5025;0.820223018904;"Undirected"
64;27212;0.820223018904;"Undirected"
64;29136;0.820223018904;"Undirected"
64;30378;0.820223018904;"Undirected"
64;31062;0.820223018904;"Undirected"
66;17554;0.851258400665;"Undirected"
67;5025;0.820223018904;"Undirected"
67;27212;0.820223018904;"Undirected"
67;29136;0.820223018904;"Undirected"
67;30378;0.820223018904;"Undirected"
67;31062;0.820223018904;"Undirected"
70;1151;0.800685867655;"Undirected"
70;25027;0.800685867655;"Undirected"
70;27163;0.800685867655;"Undirected"
70;27180;0.800685867655;"Undirected"
70;30518;0.800685867655;"Undirected"
70;31056;0.800685867655;"Undirected"
70;31444;0.800685867655;"Undirected"
71;5025;0.820223018904;"Undirected"
71;27212;0.820223018904;"Undirected"
71;29136;0.820223018904;"Undirected"
71;30378;0.820223018904;"Undirected"
71;31062;0.820223018904;"Undirected"
79;24700;0.882720287653;"Undirected"
80;21633;0.803586087544;"Undirected"
80;29564;0.808733114761;"Undirected"
84;484;0.802223492239;"Undirected"
87;31275;0.82065893065;"Undirected"
88;5025;0.820223018904;"Undirected"
88;27212;0.820223018904;"Undirected"
88;29136;0.820223018904;"Undirected"
88;30378;0.820223018904;"Undirected"
88;31062;0.820223018904;"Undirected"
97;263;0.862007416783;"Undirected"
97;30444;0.8340327026;"Undirected"
105;25272;0.884528214863;"Undirected"
131;5025;0.820223018904;"Undirected"
131;27212;0.820223018904;"Undirected"
131;29136;0.820223018904;"Undirected"
131;30378;0.820223018904;"Undirected"
131;31062;0.820223018904;"Undirected"
149;5025;0.820223018904;"Undirected"
149;27212;0.820223018904;"Undirected"
149;29136;0.820223018904;"Undirected"
149;30378;0.820223018904;"Undirected"
149;31062;0.820223018904;"Undirected"
150;582;0.860406151125;"Undirected"
150;1140;0.860406151125;"Undirected"
162;352;0.879244420703;"Undirected"
162;3534;0.81405371787;"Undirected"
162;4760;0.829672616411;"Undirected"
162;12544;0.8567786147;"Undirected"
162;14555;0.804593540088;"Undirected"
162;14556;0.919623844698;"Undirected"
162;16693;0.81405371787;"Undirected"
162;18028;0.849366075502;"Undirected"
162;20374;0.800332424972;"Undirected"
162;30839;0.88900865629;"Undirected"
163;29195;0.929386321847;"Undirected"
172;2958;0.834118152493;"Undirected"
186;2978;0.832184290048;"Undirected"
191;352;0.879244420703;"Undirected"
191;3534;0.81405371787;"Undirected"
191;4760;0.829672616411;"Undirected"
191;12544;0.8567786147;"Undirected"
191;14555;0.804593540088;"Undirected"
191;14556;0.919623844698;"Undirected"
191;16693;0.81405371787;"Undirected"
191;18028;0.849366075502;"Undirected"
191;20374;0.800332424972;"Undirected"
191;30839;0.88900865629;"Undirected"
202;23196;0.940993350692;"Undirected"
240;2385;0.910395587154;"Undirected"
240;25411;0.910395587154;"Undirected"
263;97;0.862007416783;"Undirected"
